id,class,path_to_image
00000,5,mnist_images/00000.png
00001,0,mnist_images/00001.png
00002,4,mnist_images/00002.png
00003,1,mnist_images/00003.png
00004,9,mnist_images/00004.png
00005,2,mnist_images/00005.png
00006,1,mnist_images/00006.png
00007,3,mnist_images/00007.png
00008,1,mnist_images/00008.png
00009,4,mnist_images/00009.png
00010,3,mnist_images/00010.png
00011,5,mnist_images/00011.png
00012,3,mnist_images/00012.png
00013,6,mnist_images/00013.png
00014,1,mnist_images/00014.png
00015,7,mnist_images/00015.png
00016,2,mnist_images/00016.png
00017,8,mnist_images/00017.png
00018,6,mnist_images/00018.png
00019,9,mnist_images/00019.png
00020,4,mnist_images/00020.png
00021,0,mnist_images/00021.png
00022,9,mnist_images/00022.png
00023,1,mnist_images/00023.png
00024,1,mnist_images/00024.png
00025,2,mnist_images/00025.png
00026,4,mnist_images/00026.png
00027,3,mnist_images/00027.png
00028,2,mnist_images/00028.png
00029,7,mnist_images/00029.png
00030,3,mnist_images/00030.png
00031,8,mnist_images/00031.png
00032,6,mnist_images/00032.png
00033,9,mnist_images/00033.png
00034,0,mnist_images/00034.png
00035,5,mnist_images/00035.png
00036,6,mnist_images/00036.png
00037,0,mnist_images/00037.png
00038,7,mnist_images/00038.png
00039,6,mnist_images/00039.png
00040,1,mnist_images/00040.png
00041,8,mnist_images/00041.png
00042,7,mnist_images/00042.png
00043,9,mnist_images/00043.png
00044,3,mnist_images/00044.png
00045,9,mnist_images/00045.png
00046,8,mnist_images/00046.png
00047,5,mnist_images/00047.png
00048,9,mnist_images/00048.png
00049,3,mnist_images/00049.png
00050,3,mnist_images/00050.png
00051,0,mnist_images/00051.png
00052,7,mnist_images/00052.png
00053,4,mnist_images/00053.png
00054,9,mnist_images/00054.png
00055,8,mnist_images/00055.png
00056,0,mnist_images/00056.png
00057,9,mnist_images/00057.png
00058,4,mnist_images/00058.png
00059,1,mnist_images/00059.png
00060,4,mnist_images/00060.png
00061,4,mnist_images/00061.png
00062,6,mnist_images/00062.png
00063,0,mnist_images/00063.png
00064,4,mnist_images/00064.png
00065,5,mnist_images/00065.png
00066,6,mnist_images/00066.png
00067,1,mnist_images/00067.png
00068,0,mnist_images/00068.png
00069,0,mnist_images/00069.png
00070,1,mnist_images/00070.png
00071,7,mnist_images/00071.png
00072,1,mnist_images/00072.png
00073,6,mnist_images/00073.png
00074,3,mnist_images/00074.png
00075,0,mnist_images/00075.png
00076,2,mnist_images/00076.png
00077,1,mnist_images/00077.png
00078,1,mnist_images/00078.png
00079,7,mnist_images/00079.png
00080,9,mnist_images/00080.png
00081,0,mnist_images/00081.png
00082,2,mnist_images/00082.png
00083,6,mnist_images/00083.png
00084,7,mnist_images/00084.png
00085,8,mnist_images/00085.png
00086,3,mnist_images/00086.png
00087,9,mnist_images/00087.png
00088,0,mnist_images/00088.png
00089,4,mnist_images/00089.png
00090,6,mnist_images/00090.png
00091,7,mnist_images/00091.png
00092,4,mnist_images/00092.png
00093,6,mnist_images/00093.png
00094,8,mnist_images/00094.png
00095,0,mnist_images/00095.png
00096,7,mnist_images/00096.png
00097,8,mnist_images/00097.png
00098,3,mnist_images/00098.png
00099,1,mnist_images/00099.png
00100,5,mnist_images/00100.png
00101,7,mnist_images/00101.png
00102,1,mnist_images/00102.png
00103,7,mnist_images/00103.png
00104,1,mnist_images/00104.png
00105,1,mnist_images/00105.png
00106,6,mnist_images/00106.png
00107,3,mnist_images/00107.png
00108,0,mnist_images/00108.png
00109,2,mnist_images/00109.png
00110,9,mnist_images/00110.png
00111,3,mnist_images/00111.png
00112,1,mnist_images/00112.png
00113,1,mnist_images/00113.png
00114,0,mnist_images/00114.png
00115,4,mnist_images/00115.png
00116,9,mnist_images/00116.png
00117,2,mnist_images/00117.png
00118,0,mnist_images/00118.png
00119,0,mnist_images/00119.png
00120,2,mnist_images/00120.png
00121,0,mnist_images/00121.png
00122,2,mnist_images/00122.png
00123,7,mnist_images/00123.png
00124,1,mnist_images/00124.png
00125,8,mnist_images/00125.png
00126,6,mnist_images/00126.png
00127,4,mnist_images/00127.png
00128,1,mnist_images/00128.png
00129,6,mnist_images/00129.png
00130,3,mnist_images/00130.png
00131,4,mnist_images/00131.png
00132,5,mnist_images/00132.png
00133,9,mnist_images/00133.png
00134,1,mnist_images/00134.png
00135,3,mnist_images/00135.png
00136,3,mnist_images/00136.png
00137,8,mnist_images/00137.png
00138,5,mnist_images/00138.png
00139,4,mnist_images/00139.png
00140,7,mnist_images/00140.png
00141,7,mnist_images/00141.png
00142,4,mnist_images/00142.png
00143,2,mnist_images/00143.png
00144,8,mnist_images/00144.png
00145,5,mnist_images/00145.png
00146,8,mnist_images/00146.png
00147,6,mnist_images/00147.png
00148,7,mnist_images/00148.png
00149,3,mnist_images/00149.png
00150,4,mnist_images/00150.png
00151,6,mnist_images/00151.png
00152,1,mnist_images/00152.png
00153,9,mnist_images/00153.png
00154,9,mnist_images/00154.png
00155,6,mnist_images/00155.png
00156,0,mnist_images/00156.png
00157,3,mnist_images/00157.png
00158,7,mnist_images/00158.png
00159,2,mnist_images/00159.png
00160,8,mnist_images/00160.png
00161,2,mnist_images/00161.png
00162,9,mnist_images/00162.png
00163,4,mnist_images/00163.png
00164,4,mnist_images/00164.png
00165,6,mnist_images/00165.png
00166,4,mnist_images/00166.png
00167,9,mnist_images/00167.png
00168,7,mnist_images/00168.png
00169,0,mnist_images/00169.png
00170,9,mnist_images/00170.png
00171,2,mnist_images/00171.png
00172,9,mnist_images/00172.png
00173,5,mnist_images/00173.png
00174,1,mnist_images/00174.png
00175,5,mnist_images/00175.png
00176,9,mnist_images/00176.png
00177,1,mnist_images/00177.png
00178,2,mnist_images/00178.png
00179,3,mnist_images/00179.png
00180,2,mnist_images/00180.png
00181,3,mnist_images/00181.png
00182,5,mnist_images/00182.png
00183,9,mnist_images/00183.png
00184,1,mnist_images/00184.png
00185,7,mnist_images/00185.png
00186,6,mnist_images/00186.png
00187,2,mnist_images/00187.png
00188,8,mnist_images/00188.png
00189,2,mnist_images/00189.png
00190,2,mnist_images/00190.png
00191,5,mnist_images/00191.png
00192,0,mnist_images/00192.png
00193,7,mnist_images/00193.png
00194,4,mnist_images/00194.png
00195,9,mnist_images/00195.png
00196,7,mnist_images/00196.png
00197,8,mnist_images/00197.png
00198,3,mnist_images/00198.png
00199,2,mnist_images/00199.png
00200,1,mnist_images/00200.png
00201,1,mnist_images/00201.png
00202,8,mnist_images/00202.png
00203,3,mnist_images/00203.png
00204,6,mnist_images/00204.png
00205,1,mnist_images/00205.png
00206,0,mnist_images/00206.png
00207,3,mnist_images/00207.png
00208,1,mnist_images/00208.png
00209,0,mnist_images/00209.png
00210,0,mnist_images/00210.png
00211,1,mnist_images/00211.png
00212,7,mnist_images/00212.png
00213,2,mnist_images/00213.png
00214,7,mnist_images/00214.png
00215,3,mnist_images/00215.png
00216,0,mnist_images/00216.png
00217,4,mnist_images/00217.png
00218,6,mnist_images/00218.png
00219,5,mnist_images/00219.png
00220,2,mnist_images/00220.png
00221,6,mnist_images/00221.png
00222,4,mnist_images/00222.png
00223,7,mnist_images/00223.png
00224,1,mnist_images/00224.png
00225,8,mnist_images/00225.png
00226,9,mnist_images/00226.png
00227,9,mnist_images/00227.png
00228,3,mnist_images/00228.png
00229,0,mnist_images/00229.png
00230,7,mnist_images/00230.png
00231,1,mnist_images/00231.png
00232,0,mnist_images/00232.png
00233,2,mnist_images/00233.png
00234,0,mnist_images/00234.png
00235,3,mnist_images/00235.png
00236,5,mnist_images/00236.png
00237,4,mnist_images/00237.png
00238,6,mnist_images/00238.png
00239,5,mnist_images/00239.png
00240,8,mnist_images/00240.png
00241,6,mnist_images/00241.png
00242,3,mnist_images/00242.png
00243,7,mnist_images/00243.png
00244,5,mnist_images/00244.png
00245,8,mnist_images/00245.png
00246,0,mnist_images/00246.png
00247,9,mnist_images/00247.png
00248,1,mnist_images/00248.png
00249,0,mnist_images/00249.png
00250,3,mnist_images/00250.png
00251,1,mnist_images/00251.png
00252,2,mnist_images/00252.png
00253,2,mnist_images/00253.png
00254,3,mnist_images/00254.png
00255,3,mnist_images/00255.png
00256,6,mnist_images/00256.png
00257,4,mnist_images/00257.png
00258,7,mnist_images/00258.png
00259,5,mnist_images/00259.png
00260,0,mnist_images/00260.png
00261,6,mnist_images/00261.png
